Name	Length	Grade	Target	Andy	Owen	Start lat/lon	End lat/lon	Surface	Best time	KOM	Andy time	Owen time	Link
NCC Leverett Hillclimb	3.8	5	20										
Oudr de Wendlemont			1										
West Pelham Wall			1	1									
NCC Pelham Hillclimb			20										
Wyola climb			20	1									
Association hall to dam			1	1									
AC to center			1		1								
Wendell small hill			1	2	1								
Dudleyville descent			1	1									
Wyola descent	3.65	-1.9	1	4	3			Paved	7.19	Jay Gump	7.4	7.29	https://strava.app.link/a34VE8sGo3b
S curves descent			1										
Sand hill descent			1	1									
Sand hill full			1										
Sand hill steep			1										
Prescott	1.19	8	20	30	n/a			Paved	5.42	Nick Hight-Huf	7.27	n/a	https://strava.app.link/Y7GP6TBGo3b
Baker descent			1	1									
Pelham hill north			1	3									
Pelham hill south			1	3	1								
Boyden to baker			1										
Montague climb			10										
m&m trail													https://www.strava.com/segments/8429503
the slide													https://strava.app.link/eJTtYd6Go3b